angle, raw, median, harmonic, arithmetic
1.004040404040495, 255, 255, 255.0, 255
3.0121212121213716, 255, 255, 255.0, 255
10.040404040404212, 255, 255, 255.0, 255
14.917171717171868, 255, 255, 255.0, 255
18.503030303030414, 255, 255, 255.0, 255
22.94949494949509, 255, 255, 255.0, 255
25.818181818181927, 255, 255, 255.0, 255
30.98181818181837, 255, 255, 255.0, 255
34.71111111111128, 255, 255, 255.0, 255
37.72323232323254, 255, 255, 255.0, 255
44.177777777777976, 255, 255, 255.0, 255
48.48080808080829, 255, 255, 255.0, 255
52.49696969696993, 255, 255, 255.0, 255
61.963636363636624, 255, 255, 255.0, 255
67.70101010101035, 255, 255, 255.0, 255
73.5818181818185, 9, 255, 45.900000000000006, 214
78.74545454545489, 8, 255, 23.82868267358858, 172
85.63030303030342, 7, 255, 15.355756018878068, 131
91.08080808080848, 7, 9, 11.327839231413337, 90
95.38383838383879, 7, 8, 8.973920329574419, 48
99.25656565656612, 8, 8, 7.597989949748745, 7
103.2727272727277, 9, 8, 7.597989949748743, 7
109.44040404040442, 10, 8, 7.846393357550596, 8
115.89494949494986, 12, 9, 8.50872256612268, 8
120.62828282828326, 12, 10, 9.293177627535341, 9
125.93535353535395, 17, 12, 10.683735816118707, 11
130.23838383838427, 16, 12, 12.02160746439679, 12
135.83232323232363, 16, 16, 13.318824809575625, 13
140.7090909090913, 16, 16, 14.52818991097923, 14
146.3030303030307, 17, 16, 15.444794952681388, 15
152.32727272727317, 12, 16, 15.444794952681388, 15
156.3434343434348, 10, 16, 13.964632059326867, 14
160.21616161616208, 10, 16, 12.843651626442812, 13
168.10505050505088, 9, 12, 11.633137969269763, 12
175.42020202020234, 9, 10, 10.631152287203243, 11
178.43232323232354, 9, 10, 9.72972972972973, 9
186.46464646464676, 9, 9, 9.310344827586208, 9
190.91111111111144, 9, 9, 9.152542372881358, 9
195.6444444444448, 10, 9, 9.152542372881356, 9
200.6646464646468, 10, 9, 9.310344827586208, 9
203.676767676768, 12, 10, 9.72972972972973, 9
210.41818181818212, 14, 10, 10.398899587345255, 10
215.15151515151547, 255, 12, 12.771539302394912, 51
222.036363636364, 255, 14, 16.546929316338357, 92
226.33939393939426, 255, 255, 22.511823436678934, 133
233.94141414141444, 255, 255, 35.20131470829911, 174
239.10505050505083, 215, 255, 65.38368708738554, 208
245.12929292929329, 255, 255, 247.3308270676692, 248
251.72727272727303, 255, 255, 247.3308270676692, 248
259.04242424242454, 255, 255, 247.3308270676692, 248
264.0626262626266, 255, 255, 247.3308270676692, 248
271.37777777777814, 216, 255, 240.31657450154736, 241
277.6888888888892, 255, 255, 247.5505617977528, 248
282.4222222222225, 255, 255, 247.5505617977528, 248
289.4505050505054, 255, 255, 247.5505617977528, 248
293.32323232323273, 255, 255, 247.5505617977528, 248
297.48282828282873, 255, 255, 247.5505617977528, 248
302.50303030303076, 255, 255, 255.0, 255
306.94949494949543, 255, 255, 255.0, 255
311.25252525252574, 255, 255, 255.0, 255
315.8424242424247, 255, 255, 255.0, 255
324.30505050505104, 255, 255, 255.0, 255
328.8949494949501, 255, 255, 255.0, 255
333.91515151515216, 255, 255, 255.0, 255
341.23030303030373, 255, 255, 255.0, 255
346.25050505050575, 255, 255, 255.0, 255
348.6888888888896, 255, 255, 255.0, 255
353.42222222222296, 255, 255, 255.0, 255
358.4424242424249, 255, 255, 255.0, 255
